device_id,f_wifi_most_frequent_wifi_ni_wkend_half_sem_2017-01-18,f_wifi_most_frequent_wifi_ni_wkend_half_sem_2017-03-01,f_wifi_number_samples_wifi_ni_wkend_half_sem_2017-01-18,f_wifi_number_samples_wifi_ni_wkend_half_sem_2017-03-01,f_wifi_number_unique_wifi_hotspots_ni_wkend_half_sem_2017-01-18,f_wifi_number_unique_wifi_hotspots_ni_wkend_half_sem_2017-03-01
0d25f3b7-d43e-4ccf-a8ed-e1feb0aa40aa,,,247.0,191.0,28.0,21.0
0d8b3688-0cba-4323-85fe-00f15785de38,00:1a:1e:30:df:71,e0:88:5d:3e:1a:37,221.0,334.0,14.0,14.0
1391f4f7-4e70-4d67-92f1-db819e07c0c9,00:24:6c:d0:a0:a1,00:24:6c:d0:a0:a2,7137.0,30587.0,180.0,1099.0
15d016f2-a52e-4f2d-85ac-f32c2c4526db,9c:1c:12:e0:c1:31,9c:1c:12:e0:c1:31,297.0,416.0,4.0,11.0
165de20b-6080-4f1d-9354-ec66de50263c,ac:a3:1e:fc:a6:11,ac:a3:1e:fc:a6:11,59.0,197.0,5.0,17.0
174bcad9-6cf8-4f97-bcc5-38a6f4c42c1d,24:de:c6:f1:0c:71,,221.0,226.0,16.0,10.0
17c8318d-0d75-41a8-bfef-eb8c043db1fb,9c:1c:12:b5:71:10,ac:a3:1e:f2:e9:31,8.0,317.0,5.0,42.0
1973b69d-5fe7-4ff7-94bb-17d5d875499f,04:bd:88:5b:ac:d5,9c:1c:12:b0:ee:41,186.0,413.0,16.0,31.0
1a4011ac-0990-4560-8e1a-f9f07b54b7ec,9c:1c:12:bf:de:11,,128.0,142.0,15.0,18.0
1be1f081-12eb-4151-bee7-04f39b0ada17,,74:da:38:3f:29:a6,,68219.0,,5642.0
1bf4883c-0056-4d72-bd4a-de1f3aec0387,,00:18:01:e6:c2:3a,,36.0,,2.0
1c67b4f0-964c-4aef-83a1-89a0248f80b3,,,231.0,283.0,28.0,17.0
1e3ed4f9-8c22-4b96-8a5c-c324582b9860,ac:a3:1e:d2:59:b0,,139.0,49.0,22.0,9.0
1e6cee1a-1bce-45b5-9cef-eab3084a5187,9c:1c:12:bf:e5:51,9c:1c:12:bf:e5:51,262.0,306.0,31.0,40.0
1e6e0199-be64-4525-9b86-ae0038022368,00:1a:1e:8a:eb:d1,00:1a:1e:8a:eb:d1,277.0,295.0,10.0,12.0
209854a0-471d-42fa-856f-54b5d1948481,00:1a:1e:88:2e:01,00:1a:1e:88:2e:01,37842.0,7220.0,642.0,419.0
24f7d497-1c92-4372-976d-81dd15d7b1fb,,9c:1c:12:b5:89:50,,200.0,,8.0
2cafda94-dca2-4401-ae3c-aa1bdf3ce6ca,24:de:c6:f1:1b:d1,24:de:c6:f1:1b:c2,90453.0,503940.0,2201.0,4218.0
2dd9d631-d2d5-4afa-9d1f-0a3eac129ec0,ac:a3:1e:f3:13:11,,66189.0,,2937.0,
2ef2702c-0c30-40d8-91c0-35ad8829465b,00:1a:1e:8c:61:81,00:1a:1e:8c:61:81,18649.0,54723.0,964.0,574.0
2fb7fbc1-068f-4a54-a8ee-a41c99d0f7da,ac:a3:1e:d2:5c:90,ac:a3:1e:d2:5c:90,305.0,186.0,38.0,12.0
318f91af-9b11-42f5-bdcd-7c9e35761da5,9c:1c:12:e0:e1:d1,9c:1c:12:b7:bb:d1,205.0,413.0,10.0,21.0
31c395a9-0128-46df-a90c-73160f0854b4,24:de:c6:f1:32:f1,,225.0,367.0,30.0,34.0
3258d5c4-4f3f-4722-966a-1bd619c9229f,ac:a3:1e:f2:fa:a2,,66693.0,,1479.0,
32d4b802-7471-49bd-ad59-e663b0d98682,,ac:a3:1e:d2:46:70,317.0,239.0,13.0,18.0
3698dbcf-6b9e-4b00-a15a-f2cb26e6639d,,9c:1c:12:e0:d6:91,353.0,435.0,26.0,25.0
38861b6b-d04b-4f1f-8c17-c3c0a9f0a221,00:1a:1e:8d:38:a1,00:1a:1e:8d:38:a1,299.0,372.0,21.0,27.0
38edf5e3-bd76-4ec3-b1fc-c134915743c7,00:1a:1e:8c:a9:01,00:1a:1e:8c:a9:01,119.0,215.0,12.0,12.0
395bf3f4-ec02-494f-8f45-30ab62eda8e7,ac:a3:1e:f2:f6:31,ac:a3:1e:f2:f6:31,202.0,359.0,16.0,41.0
3b9d6c27-13cc-47d9-b00e-af2e0d3d0009,,ac:a3:1e:f3:23:d1,255.0,210.0,37.0,29.0
3bf51a01-8625-4c9b-a16c-24d10ccf8ae5,9c:1c:12:bf:e5:41,9c:1c:12:b5:cc:30,306.0,8.0,36.0,4.0
3dcb435d-656f-405f-81a1-49f7eae6c25e,9c:1c:12:bf:e0:31,,15761.0,,1266.0,
3fa86602-fc33-4c6f-9b3e-2cebd95104ee,ac:a3:1e:fc:cb:11,ac:a3:1e:fc:cb:11,216.0,341.0,4.0,22.0
3ff2b7eb-622c-4ae9-9d89-7d2af5430d34,,9c:1c:12:bf:d4:91,266.0,360.0,12.0,22.0
417abe6d-ef78-4f01-b632-844af6cb8fe7,24:de:c6:f0:8e:93,24:de:c6:f0:8e:93,147.0,198.0,9.0,7.0
447a64e5-f754-4082-b0fa-0000f34eeda8,,,300.0,432.0,12.0,31.0
44ff689e-4138-43cc-8f6d-2d8323125ee1,,"""""",,17952.0,,1224.0
4522b36a-6215-4768-b42a-55e79677d4ec,24:de:c6:f1:1b:c2,24:de:c6:f1:10:90,69720.0,25914.0,797.0,440.0
49b6c762-deaf-4cbf-8cb6-557ca65d395c,00:1a:1e:8d:38:a1,00:1a:1e:8d:38:a1,32081.0,2918.0,1379.0,148.0
4ba3ace5-f982-49c5-883a-0329d059d431,24:de:c6:f1:10:91,24:de:c6:f1:10:91,88.0,94.0,1.0,1.0
4d4c47ec-5a3c-4c9c-b32b-83da30500857,ac:a3:1e:d2:57:00,ac:a3:1e:d2:57:04,8493.0,29598.0,143.0,218.0
4de0beb1-cfa8-4410-809d-d05322b1a0c8,00:24:6c:d0:a2:63,,233.0,331.0,17.0,30.0
4e20289a-32ca-47be-a2c5-f0bd66ab9176,,,178.0,223.0,25.0,19.0
5542666d-5bf4-4a1b-b17c-e3580c4cd773,ac:a3:1e:f3:0a:91,,152.0,246.0,17.0,30.0
5792d203-ec62-4b40-b0a2-29969224e3fb,,ac:a3:1e:f3:08:51,210.0,342.0,25.0,23.0
5a5e44dd-1b8f-4c26-ba16-65593a8b59eb,ac:a3:1e:e2:6b:f1,ac:a3:1e:e2:6b:f1,147.0,240.0,9.0,5.0
5a6686fd-5017-4c17-9dd4-4081d5448b7d,,24:de:c6:f1:14:b1,,211.0,,4.0
5d02f383-d24c-4902-b728-1380c99105ee,ac:a3:1e:f3:20:03,ac:a3:1e:f3:20:02,66963.0,107284.0,1262.0,1743.0
626aaffc-c174-48ca-a179-cab025b9bc98,,ac:a3:1e:d2:55:70,87.0,345.0,4.0,17.0
649357ac-11ab-4fc7-acd2-816a3844d81b,ac:a3:1e:f3:13:91,ac:a3:1e:f3:13:91,64475.0,30209.0,3092.0,1867.0
64e25c38-ee68-4e06-8990-09ba71759cf1,00:1a:1e:8a:f8:e3,00:1a:1e:8a:f8:e1,14145.0,228556.0,1132.0,1831.0
65e91776-4319-4b41-ae66-28db6473fc60,24:de:c6:f1:0d:71,24:de:c6:f1:0d:71,224.0,396.0,28.0,36.0
65f4b507-b48a-416d-ac1f-2678e3f954d8,24:de:c6:f1:17:d1,24:de:c6:f1:17:d1,139.0,284.0,27.0,41.0
66368d24-f87e-4db0-ab9d-c450c33becf3,,00:1a:1e:88:1c:41,148.0,347.0,23.0,23.0
66b66952-ae50-46c4-8f79-1d2117ac6691,84:18:3a:11:bc:f8,00:1a:1e:8a:25:f0,913.0,89696.0,34.0,2121.0
687020d4-2b4c-483d-9124-ca34195f8af7,24:de:c6:f0:e1:f1,fc:0a:81:ab:30:78,82.0,192.0,2.0,15.0
699a92cf-42b7-4a29-bd1b-edf43d06dd54,24:de:c6:f1:20:62,24:de:c6:f1:20:71,110070.0,133473.0,3728.0,4886.0
69d0a3bb-40c8-42a8-838d-1bb275f28d1b,9c:1c:12:c7:15:d1,48:5d:36:64:b7:46,195.0,256.0,25.0,10.0
6afbdb8a-a1cf-4248-852a-24e56ee5766a,,24:de:c6:f1:14:31,299.0,371.0,30.0,41.0
6d73aa4b-1be4-426b-8d6b-c811bd2170fa,9c:1c:12:c6:5e:71,9c:1c:12:c6:5e:71,54350.0,52942.0,582.0,2550.0
6e12238e-2105-4bd3-be42-9b2ce1bf4946,,ac:a3:1e:d2:59:a0,,111641.0,,1214.0
6e60c67a-9bb0-4818-9625-1afe9788fe6b,ac:a3:1e:f2:f2:71,ac:a3:1e:f2:f2:71,77.0,199.0,8.0,21.0
6fb4842f-8beb-4539-8b18-e21d89d3254e,,,206.0,481.0,6.0,6.0
7230d0d5-fab8-4462-9952-69aee6866b04,9c:1c:12:bf:de:01,9c:1c:12:bf:de:01,321.0,430.0,33.0,23.0
7398824b-a04d-4252-afe8-d0f392a5cd48,9c:1c:12:e0:d8:d1,9c:1c:12:e0:d8:d1,222.0,265.0,21.0,14.0
785e9e8e-4ab0-4686-a95e-a25c6c2e2eee,24:de:c6:f1:1d:51,24:de:c6:f1:1d:51,102612.0,129311.0,4020.0,5109.0
79d3d50d-b736-43ba-8979-8ba6ff3d1e48,,,194.0,387.0,5.0,4.0
7afaa986-9de6-4efe-9057-3fa969b1760c,,1c:87:2c:69:75:a8,188.0,112.0,16.0,11.0
811f021c-0ecf-4264-967d-f02f93c3d711,ac:a3:1e:d2:3f:50,ac:a3:1e:d2:1a:b0,117.0,269.0,5.0,16.0
81443789-41c5-4277-9bbb-55336120c0c9,24:de:c6:f0:9c:53,,362.0,437.0,21.0,42.0
848429d2-612d-4b1c-82ff-e51dc40d3d07,24:de:c6:f0:8e:d3,,219.0,376.0,34.0,36.0
85396fa9-14d7-47d6-9688-1771e6c3fa75,ac:a3:1e:f2:e4:50,,205.0,309.0,30.0,50.0
87046549-2960-43b1-b1b9-358aac851b8a,24:de:c6:f1:0d:b1,24:de:c6:f1:0d:b1,162.0,273.0,6.0,21.0
876f9317-9823-4ecb-9290-1b1cbd2ded3c,00:1a:1e:30:df:71,00:1a:1e:30:df:71,229.0,408.0,10.0,16.0
88d687ca-537d-4592-8691-22feeb116122,9c:1c:12:c6:50:01,,166.0,160.0,23.0,27.0
8cf6b2a5-ca26-48cd-86e0-d3eca61d264b,,48:5d:36:40:ce:20,274.0,60.0,3.0,2.0
8e0a48eb-c371-4932-82ab-d9458c31b77c,ac:a3:1e:f3:0e:31,ac:a3:1e:f3:0e:31,217.0,269.0,23.0,16.0
924b4f99-c800-4f5f-9159-8b47a317ef34,24:de:c6:f1:20:71,24:de:c6:f1:20:71,262.0,261.0,20.0,23.0
94aac48e-7cbb-4a8c-b47a-052d28eefa5a,00:1a:1e:8d:38:a1,,265.0,313.0,11.0,16.0
94c99ead-4f3e-4c68-8f51-08af25c64920,ac:a3:1e:f3:1f:11,ac:a3:1e:f3:1f:11,309.0,447.0,20.0,16.0
95940265-9599-4ab5-bccf-b7d64e75f3f6,24:de:c6:f1:0d:b1,24:de:c6:f1:0d:b1,337.0,408.0,14.0,41.0
9a035626-2e6c-4aa5-a6cb-e47403a39d00,,,128.0,182.0,16.0,28.0
9bb46002-6fdb-4287-bfd3-bc3e2e57785f,,9c:1c:12:bf:d4:90,,23324.0,,508.0
9d37754d-fb9f-46cf-a2a8-1232f3ad1071,24:de:c6:f1:31:b1,24:de:c6:f1:31:b1,107.0,144.0,6.0,10.0
9e7d28be-3a29-406b-b3e3-d2fd2414605c,00:1a:1e:8d:43:91,00:1a:1e:8d:43:91,251.0,431.0,7.0,25.0
a2952ecb-5ee6-454a-81a6-16e908ee2e18,00:1a:1e:8c:a9:01,00:1a:1e:8c:a9:01,221.0,290.0,28.0,25.0
a36f9b21-57f2-46ef-bb33-a65e0c2b642c,,,159.0,274.0,4.0,9.0
a3aa60d3-8acb-4e7b-b324-ac85c6c074d2,ac:a3:1e:f3:16:c1,ac:a3:1e:f3:0e:c1,38746.0,94210.0,1134.0,1771.0
a5ea9d2e-766c-4a6b-87b2-8bc4fe445a63,,,272.0,430.0,25.0,42.0
a8ba94f4-d3e6-452c-adf8-4d1e0984a6d1,,60:e3:27:f6:ac:11,344.0,310.0,15.0,18.0
a9836b94-4e9e-498f-aa65-0cd76d330641,9c:1c:12:bf:e6:71,9c:1c:12:bf:e6:71,247.0,242.0,37.0,41.0
ad5083ca-82c9-435b-9776-03837a5aed8c,00:1a:1e:8d:38:a1,70:73:cb:bb:6c:c0,149.0,189.0,11.0,9.0
ad6f1e0f-32ef-4b74-9c04-876609ba1e55,,ac:a3:1e:ee:78:91,36.0,144.0,1.0,4.0
afeb5dcc-28b1-4088-9942-3e24bc05508d,00:02:2d:ab:1e:60,24:de:c6:f1:17:e0,583.0,100.0,45.0,64.0
b24dc8d4-e952-4d4a-bbd8-0841ea7d87ee,24:de:c6:f1:32:51,24:de:c6:f1:32:51,135.0,293.0,18.0,14.0
b36df7c0-cf05-42de-9ed6-704c2f02e3da,ac:a3:1e:f2:d5:00,ac:a3:1e:f2:d5:02,106494.0,2576.0,5208.0,147.0
b771f307-fb8e-49e2-a533-2b4145073203,,ac:a3:1e:f2:ec:33,,38899.0,,2179.0
b8484a00-842a-4aa3-a008-07dc9580bb3a,24:de:c6:f0:8d:93,24:de:c6:f0:8d:93,302.0,278.0,64.0,45.0
b9c40632-ca4b-4b45-8f61-99e146c671b6,24:de:c6:f0:9b:f3,,379.0,315.0,25.0,28.0
bb3effb0-4439-4ace-b82e-0c779734431a,,,153.0,152.0,7.0,5.0
bedd078a-f665-46f2-bdc5-ab3535a4708e,10:78:5b:0d:22:71,ac:a3:1e:d2:5b:e0,16150.0,5435.0,604.0,171.0
c180cf15-e68a-4136-9b03-c33220dc5738,24:de:c6:f0:98:33,20:e5:2a:24:cd:8b,238.0,177.0,7.0,9.0
c24ab734-cf32-40d2-a0d5-25c363984387,,,139.0,289.0,18.0,3.0
c7650b38-6fb9-4305-bf13-d4f8a40b4dbe,,00:1a:1e:8d:6e:21,221.0,373.0,24.0,31.0
cb952516-48ff-4504-a9e6-080161ee7f8d,9c:1c:12:bf:e5:51,9c:1c:12:bf:e5:52,13144.0,4633.0,855.0,460.0
ccb6e01b-3dc3-4f63-b1dc-f028fce9463f,,,260.0,320.0,12.0,9.0
cd031b30-d6b4-479f-877f-7a8467135ea4,24:de:c6:f0:99:53,24:de:c6:f0:99:53,309.0,427.0,42.0,27.0
cd20f78a-3ab7-4bb5-b400-e4af17ddef1f,ac:a3:1e:f2:f2:b1,ac:a3:1e:f2:f2:b1,244.0,470.0,12.0,21.0
cf5aaf0c-8b7b-4781-9109-cd32e2b8588e,9c:1c:12:bf:d7:31,9c:1c:12:bf:d7:31,97007.0,95580.0,700.0,960.0
d0a1ab1f-7d61-4071-a0e5-21d31dcbf7d4,,,166.0,326.0,16.0,21.0
d1ac58f8-4334-4249-ad23-1746fed138b1,,ac:a3:1e:d2:56:b0,167.0,357.0,11.0,23.0
d1ff441d-a66a-45ab-b1b2-372042b29762,00:1a:1e:8c:d2:c1,,246.0,464.0,14.0,14.0
d26777b1-b3b5-4e7c-adf8-5a8264e2ddc6,00:1a:1e:8a:eb:d1,,276.0,476.0,20.0,19.0
d5aac654-91bb-4ae4-b8cf-5704421fd07e,24:de:c6:f1:1b:51,90:72:40:24:12:e4,377.0,356.0,10.0,8.0
d87719f9-6868-47bb-91d5-02acf9190f94,,24:de:c6:f1:31:d1,,36.0,,2.0
db4bc043-4f67-418c-bd8a-e15543032389,9c:1c:12:c6:60:f0,"""""",136210.0,164998.0,7265.0,7045.0
dba4459b-ef47-43cc-b721-364c0406f355,9c:1c:12:e0:e1:91,,157.0,242.0,27.0,38.0
dec05b58-d6d4-4478-b730-3fd040c4e52d,9c:1c:12:bf:c8:f1,9c:1c:12:c6:7e:71,35414.0,243130.0,2538.0,4515.0
dfa65587-95f0-4384-9d81-64a15e78bf16,9c:1c:12:bf:e0:31,9c:1c:12:bf:e0:31,307.0,451.0,39.0,52.0
e1f9e6dd-d065-4590-b3da-8074a91dce27,9c:1c:12:e2:2e:51,9c:1c:12:e2:2e:51,206.0,398.0,20.0,25.0
e261bc00-2e1f-4c98-8511-deedb1d77739,9c:1c:12:bf:eb:b1,,312.0,536.0,11.0,14.0
e288098a-788a-4d3b-8fa2-0cf863eebf75,9c:1c:12:e0:c1:31,9c:1c:12:e0:c1:31,176.0,274.0,16.0,23.0
e322dd4d-798b-4536-af6f-fe3404a15fce,9c:1c:12:b0:e7:61,9c:1c:12:b0:e7:61,162.0,347.0,20.0,26.0
e5847047-48e7-4aec-9ab2-e03a432ad442,,ac:a3:1e:f2:ec:31,,158.0,,22.0
e6ad33da-3083-4dad-85a6-b06dd345975b,ac:a3:1e:d2:1b:b0,ac:a3:1e:d2:1b:b0,33667.0,8587.0,189.0,189.0
e9d0cdd9-b664-453d-9bcf-c5f560519dc9,9c:1c:12:c6:45:81,c4:e9:84:f5:fc:89,35.0,179.0,2.0,3.0
eb8051d8-bc9c-47f9-b663-89583b35f37b,,,,148.0,,14.0
ec54b478-47e0-444d-90a1-bfb45b416bee,,24:de:c6:e0:ec:f1,211.0,283.0,27.0,18.0
ee099a8f-8baf-408e-bf0f-3cf1a3d51790,9c:1c:12:b0:e7:71,00:1a:1e:8a:fd:61,182.0,413.0,9.0,16.0
ee6eb822-8fdb-4821-b759-5dedcfadd2f2,,ac:a3:1e:05:b6:91,268.0,385.0,32.0,26.0
f2eb226f-61b4-44b9-8e1d-4f6de1438a29,,9c:1c:12:c7:9b:01,,2222.0,,282.0
f4f84e15-621a-4900-96f1-a8d058066570,,9c:1c:12:c6:7f:31,,42.0,,9.0
f5de7b18-5058-41c2-b957-da926c7dcba9,24:de:c6:f0:98:33,24:de:c6:f0:98:33,267.0,249.0,16.0,20.0
f7ea4330-8f1c-4042-b5ea-13726c70efb1,ac:a3:1e:f3:0c:90,ac:a3:1e:d2:5a:d0,99.0,124.0,12.0,7.0
f92b4712-d45b-4aa6-bacc-fee783b55290,9c:1c:12:e2:2e:51,9c:1c:12:e2:2e:51,163.0,366.0,9.0,8.0
fc56152c-3430-4952-88cc-f52240fa3092,,ac:a3:1e:d2:1a:30,,156923.0,,2004.0
fd5999a3-6d93-4479-8a7a-91fb7f8f0270,,,170.0,230.0,19.0,32.0
fe880b1f-df9c-476f-a7b3-ac363000fee7,,,353.0,525.0,45.0,65.0
fe94368f-79f1-48b2-a40e-234130e09164,,00:1a:1e:8a:ef:81,,184.0,,9.0
